2025/12/04 01:01:36 PM > ep 135 done. total_steps=39151 | reward=1.0 | episode_steps=48 | hours=0.060 | epsilon=0.227
2025/12/04 01:01:37 PM > ep 136 done. total_steps=39323 | reward=1.0 | episode_steps=172 | hours=0.061 | epsilon=0.226
2025/12/04 01:01:38 PM > ep 137 done. total_steps=39550 | reward=1.0 | episode_steps=227 | hours=0.061 | epsilon=0.225
2025/12/04 01:01:38 PM > ep 138 done. total_steps=39600 | reward=1.0 | episode_steps=50 | hours=0.061 | epsilon=0.224
2025/12/04 01:01:38 PM > ep 139 done. total_steps=39636 | reward=1.0 | episode_steps=36 | hours=0.061 | epsilon=0.224
2025/12/04 01:01:39 PM > ep 140 done. total_steps=39739 | reward=1.0 | episode_steps=103 | hours=0.061 | epsilon=0.223
2025/12/04 01:01:41 PM > ep 141 done. total_steps=40035 | reward=1.0 | episode_steps=296 | hours=0.062 | epsilon=0.222
2025/12/04 01:01:42 PM > ep 142 done. total_steps=40247 | reward=1.0 | episode_steps=212 | hours=0.062 | epsilon=0.220
2025/12/04 01:01:44 PM > ep 143 done. total_steps=40621 | reward=1.0 | episode_steps=374 | hours=0.063 | epsilon=0.218
2025/12/04 01:01:45 PM > ep 144 done. total_steps=40923 | reward=1.0 | episode_steps=302 | hours=0.063 | epsilon=0.216
2025/12/04 01:01:45 PM > ep 145 done. total_steps=40932 | reward=1.0 | episode_steps=9 | hours=0.063 | epsilon=0.216
2025/12/04 01:01:46 PM > ep 146 done. total_steps=40965 | reward=1.0 | episode_steps=33 | hours=0.063 | epsilon=0.216
2025/12/04 01:01:46 PM > ep 147 done. total_steps=41092 | reward=1.0 | episode_steps=127 | hours=0.063 | epsilon=0.215
2025/12/04 01:01:47 PM > ep 148 done. total_steps=41275 | reward=1.0 | episode_steps=183 | hours=0.063 | epsilon=0.214
2025/12/04 01:01:49 PM > ep 149 done. total_steps=41592 | reward=1.0 | episode_steps=317 | hours=0.064 | epsilon=0.212
2025/12/04 01:01:50 PM > ep 150 done. total_steps=41716 | reward=1.0 | episode_steps=124 | hours=0.064 | epsilon=0.212
2025/12/04 01:01:50 PM > ep 151 done. total_steps=41788 | reward=1.0 | episode_steps=72 | hours=0.064 | epsilon=0.211
2025/12/04 01:01:50 PM > ep 152 done. total_steps=41809 | reward=1.0 | episode_steps=21 | hours=0.064 | epsilon=0.211
2025/12/04 01:01:51 PM > ep 153 done. total_steps=42046 | reward=1.0 | episode_steps=237 | hours=0.065 | epsilon=0.210
2025/12/04 01:01:52 PM > ep 154 done. total_steps=42107 | reward=1.0 | episode_steps=61 | hours=0.065 | epsilon=0.210
2025/12/04 01:01:52 PM > ep 155 done. total_steps=42179 | reward=1.0 | episode_steps=72 | hours=0.065 | epsilon=0.209
2025/12/04 01:01:55 PM > ep 156 done. total_steps=42753 | reward=1.0 | episode_steps=574 | hours=0.066 | epsilon=0.206
2025/12/04 01:01:57 PM > ep 157 done. total_steps=43121 | reward=1.0 | episode_steps=368 | hours=0.066 | epsilon=0.204
2025/12/04 01:01:57 PM > ep 158 done. total_steps=43141 | reward=1.0 | episode_steps=20 | hours=0.066 | epsilon=0.204
2025/12/04 01:01:58 PM > ep 159 done. total_steps=43258 | reward=1.0 | episode_steps=117 | hours=0.066 | epsilon=0.203
2025/12/04 01:01:59 PM > ep 160 done. total_steps=43514 | reward=1.0 | episode_steps=256 | hours=0.067 | epsilon=0.202
